Name,Year,Publisher,Global_Sales
The Bureau: XCOM Declassified,2013.0,Take-Two Interactive,0.05
Culdcept Revolt,2016.0,Nintendo,0.05
Toy Soldiers: War Chest,2015.0,Ubisoft,0.05
SpongeBob: HeroPants,2015.0,Activision,0.05
Child of Light,2014.0,Ubisoft,0.05
Mirror's Edge Catalyst,2016.0,Electronic Arts,0.05
NBA 2K17,2016.0,Take-Two Interactive,0.05
Fast & Furious: Showdown,2013.0,Activision,0.05
Rugby World Cup 2015,2015.0,Ubisoft,0.05
SpongeBob SquarePants: Plankton's Robotic Revenge,2013.0,Activision,0.05
Plants vs. Zombies: Garden Warfare 2,2016.0,Electronic Arts,0.05
SpongeBob SquarePants: Plankton's Robotic Revenge,2013.0,Activision,0.05
Gravity Falls: Legend of the Gnome Gemulets,2015.0,Ubisoft,0.04
XCOM 2,2016.0,Take-Two Interactive,0.04
The Sims 4: Spa Day,2015.0,Electronic Arts,0.04
Famicom Remix Best Choice,2015.0,Nintendo,0.04
Civilization Beyond Earth: Rising Tide,2015.0,Take-Two Interactive,0.04
Rugby World Cup 2015,2015.0,Ubisoft,0.04
NHL Legacy,2015.0,Electronic Arts,0.04
NHL 16,2015.0,Electronic Arts,0.04
Destiny: The Collection,2016.0,Activision,0.04
Assassin's Creed Chronicles: China,2015.0,Ubisoft,0.04
Might & Magic X: Legacy,2014.0,Ubisoft,0.04
Fast & Furious: Showdown,2013.0,Activision,0.03
SpongeBob: HeroPants,2015.0,Activision,0.03
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016.0,Activision,0.03
Trials Fusion,2014.0,Ubisoft,0.03
Metroid Prime: Federation Force,2016.0,Nintendo,0.03
Transformers: Devastation,2015.0,Activision,0.03
The Peanuts Movie: Snoopy's Grand Adventure,2015.0,Activision,0.03
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016.0,Activision,0.03
Cabela's Big Game Hunter: Pro Hunts,2014.0,Activision,0.03
Need for Speed (2015),2016.0,Electronic Arts,0.03
Ghostbusters (2016),2016.0,Activision,0.03
Cabela's Big Game Hunter: Pro Hunts,2014.0,Activision,0.03
The Legend of Korra (3DS),2014.0,Activision,0.03
The Peanuts Movie: Snoopy's Grand Adventure,2015.0,Activision,0.03
The Peanuts Movie: Snoopy's Grand Adventure,2015.0,Activision,0.03
Ghostbusters (2016),2016.0,Activision,0.02
Teddy Together,2016.0,Nintendo,0.02
The Voice,2014.0,Activision,0.02
