event_id;event_date;trading_date;ticker;publisher;studio;is_rockstar;game;franchise;event_type;sentiment;impact_expectation_manual;adj_close;return;market_return;AR_event;CAR_m1_p1;CAR_m5_p5;CAR_0_1;CAR_0_3;CAR_0_5;impact_label
RDR2_2017_TRAILER2;2017-09-28;2017-09-28;TTWO;Take-Two;Rockstar;1;RDR2;Red Dead;Trailer/Reveal;positive;medium;100.88999938964844;0.0075901543700935;0.0012046155961591;0.0059125726173917;0.0379695560032266;-0.0312893201685269;0.0151679731513683;0.0151679731513683;-0.0028258362959670004;High
RDR2_2018_GAMEPLAY;2018-08-09;2018-08-09;TTWO;Take-Two;Rockstar;1;RDR2;Red Dead;Trailer/Reveal;positive;high;125.1999969482422;0.0020008003689953;-0.0014416744645237;0.0028090214213166;0.0598203539312971;0.0421150047479344;0.0376995011797715;0.0376995011797715;0.0366622332273598;High
TTWO_2018_RDR2_RELEASE;2018-10-26;2018-10-26;TTWO;Take-Two;Rockstar Games;1;Red Dead Redemption 2;Red Dead;Release;Positive;High;120.05999755859376;-0.005302397728501;-0.0173272640399783;0.0104280133410107;0.0800678043440273;0.0800341597964371;0.0104280133410107;-0.053421461134488805;0.06977410323774759;High
TTWO_2020_RDR2_PC_STEAM;2019-12-05;2019-12-05;TTWO;Take-Two;Rockstar Games;1;Red Dead Redemption 2;Red Dead;Release;Positive;Low;123.97000122070312;0.0164808310209831;0.0015002511791302;0.014525542839824;-0.0123654324638195;0.0073119104685097;0.0034619084242844995;0.0034619084242844995;-0.004716047465225002;Medium
TTWO_2020_CODEMASTERS_LOSS;2020-11-06;2020-11-06;TTWO;Take-Two;; ; ;TTWO;Corporate Event;negative;high;175.19000244140625;0.0385938466225679;-0.0002877151874185;0.0383180915641334;0.0497876357515646;-0.0386594765468103;0.0383180915641334;-0.0599811905417861;-0.0556957280823057;High
TTWO_2021_TTWO_EARNINGS_GTAONLINE;2021-02-08;2021-02-08;TTWO;Take-Two;Take-Two;0;Multiple titles;Portfolio;Earnings;Positive;Medium;213.33999633789065;0.0281940849672361;0.0073993483603735;0.0206974570296729;-0.0398787820890284;-0.0631390488974312;-0.0398787820890285;-0.0581665890355855;-0.049237747097712;High
TTWO_2022_ZYNGA_ACQUISITION;2022-01-10;2022-01-10;TTWO;Take-Two;; ;Zynga;TTWO;Corporate Event;negative;high;142.99000549316406;-0.1312879696782101;-0.0014410312534549;-0.1304803528286943;-0.1016562104295231;-0.140421763488296;-0.10165621042952311;-0.04842134456348201;-0.06426968489138661;High
TTWO_2022_GTA6_DEV-ANNOUNCEMENT;2022-02-04;2022-02-04;TTWO;Take-Two;Rockstar Games;1;GTA VI;GTA;Major Announcement;Neutral;Low;175.0;0.0734878874589923;0.0051569298644233;0.0680976840098431;0.0781642242594172;0.0486345951870365;0.0680976840098431;0.07160034410842091;0.03323078768391291;High
TTWO_2022_GTA5_NEXTGEN;2022-03-15;2022-03-15;TTWO;Take-Two;Rockstar Games;1;GTA V (PS5/Xbox Series);GTA;Release;Positive;Medium;142.8800048828125;0.0074742455496457;0.0214085741708709;-0.0131820028442446;-0.062997069014063;-0.0847620413006695;0.006609002187704601;0.00024265462821610134;0.00024265462821610134;High
TTWO_2022_GTA_PLUS_SUBSCRIPTION;2022-03-29;2022-03-29;TTWO;Take-Two;Rockstar Games;1;GTA Online;GTA;Major Announcement;Neutral;Medium;158.57000732421875;0.0132268838608227;0.0122565474275304;0.0011676271906485;-0.0036080939154159;-0.0055487269849153;-0.009295414923935;-0.025851966835696197;-0.025851966835696197;Low
GTA6_2022_LEAK;2022-09-18;2022-09-16;TTWO;Take-Two;Rockstar;1;GTA VI;GTA;Leak;negative;high;124.19000244140624;-0.0330140191246353;-0.0071821340894484;-0.026813475118088;-0.0146214786787699;-0.0178027986901165;-0.026813475118088;-0.0266343071675484;-0.059142455353851;Medium
